Hue0	Hue1	Hue2	Hue3	Hue4	Hue5	Hue6	Hue7	Hue8	Hue9	Hue10	Hue11	Hue12	Hue13	Hue14	Hue15	Length0	Length1	Length2	Length3	Length4	Length5	Length6	Length7	Length8	Length9	Angle0	Angle1	Angle2	Angle3	Angle4	Angle5	Angle6	Angle7	Angle8	Angle9	type
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	s1 s2 s3
																																				class
0.014	0.048	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.438	1.292	1.396	2.000	0.812	0.896	1.042	1.125	0.833	0.167	0.000	0.000	0.001	0.002	0.002	0.004	0.016	0.003	0.000	0.000	s2
0.020	0.036	0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.430	1.265	2.052	1.708	1.106	1.474	0.713	0.430	0.541	0.283	0.000	0.000	0.004	0.006	0.005	0.006	0.005	0.002	0.000	0.000	s2
0.022	0.035	0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.344	1.279	1.852	1.869	1.164	0.820	0.721	0.820	0.721	0.410	0.000	0.000	0.011	0.006	0.003	0.003	0.003	0.002	0.000	0.000	s2
0.017	0.045	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.675	1.071	1.713	1.582	1.845	1.269	0.461	0.692	0.412	0.280	0.000	0.000	0.004	0.006	0.006	0.004	0.005	0.003	0.000	0.000	s2
0.023	0.033	0.007	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.437	2.044	1.548	1.786	0.694	1.171	1.091	0.536	0.377	0.317	0.000	0.000	0.004	0.016	0.005	0.001	0.002	0.001	0.000	0.000	s2
0.017	0.034	0.011	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.543	1.005	1.685	1.698	1.345	1.087	1.168	0.802	0.435	0.231	0.000	0.000	0.002	0.005	0.009	0.006	0.004	0.002	0.000	0.000	s2
0.019	0.033	0.011	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.709	1.178	1.623	1.791	1.178	1.370	0.841	0.709	0.517	0.084	0.000	0.000	0.003	0.003	0.010	0.008	0.003	0.002	0.000	0.000	s2
0.015	0.046	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.940	2.534	1.946	1.292	1.007	0.789	0.570	0.386	0.470	0.067	0.000	0.000	0.001	0.002	0.002	0.005	0.018	0.001	0.000	0.000	s2
0.020	0.038	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.362	1.034	1.396	2.013	1.342	0.980	1.047	1.007	0.617	0.201	0.000	0.000	0.003	0.004	0.008	0.006	0.003	0.003	0.000	0.000	s2
0.024	0.036	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.622	0.825	1.340	1.556	1.096	1.691	0.974	0.825	0.785	0.284	0.000	0.000	0.002	0.004	0.009	0.008	0.004	0.002	0.000	0.000	s2
