Length0	Length1	Length2	Length3	Length4	Length5	Length6	Length7	Length8	Length9	Angle0	Angle1	Angle2	Angle3	Angle4	Angle5	Angle6	Angle7	Angle8	Angle9	type
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	jhead jtail ohead otail
0.895	1.304	1.255	1.294	1.226	0.982	0.875	0.798	0.827	0.545	0.000	0.000	0.003	0.005	0.006	0.006	0.005	0.003	0.000	0.000	ohead
1.150	1.501	1.216	1.380	1.019	0.591	0.920	0.701	0.723	0.800	0.000	0.000	0.004	0.004	0.006	0.006	0.005	0.004	0.000	0.000	ohead
2.478	2.258	1.826	1.158	0.762	0.587	0.462	0.183	0.183	0.103	0.000	0.000	0.003	0.005	0.007	0.006	0.004	0.003	0.000	0.000	ohead
1.012	1.350	1.227	1.217	1.135	1.074	0.808	0.603	0.777	0.798	0.000	0.000	0.005	0.003	0.004	0.004	0.006	0.005	0.000	0.000	ohead
0.914	1.119	1.310	1.078	1.214	1.228	0.887	0.709	0.859	0.682	0.000	0.000	0.004	0.005	0.005	0.005	0.004	0.004	0.000	0.000	otail
0.944	1.375	1.061	1.410	1.061	0.921	0.839	0.897	0.839	0.653	0.000	0.000	0.005	0.005	0.004	0.004	0.005	0.005	0.000	0.000	otail
1.159	1.171	1.510	1.329	1.111	0.713	0.833	0.713	0.761	0.700	0.000	0.000	0.004	0.004	0.006	0.006	0.005	0.004	0.000	0.000	otail
1.111	1.010	1.097	1.284	1.356	1.010	0.765	0.895	0.750	0.722	0.000	0.000	0.006	0.004	0.004	0.006	0.004	0.004	0.000	0.000	otail
0.907	1.612	1.366	1.374	1.251	1.066	0.881	0.661	0.493	0.388	0.000	0.000	0.005	0.005	0.005	0.005	0.005	0.003	0.000	0.000	otail
0.893	1.178	1.481	1.481	1.320	0.940	0.788	0.788	0.646	0.484	0.000	0.000	0.005	0.005	0.005	0.005	0.005	0.004	0.000	0.000	otail
1.006	1.248	1.070	1.236	1.223	0.968	0.955	0.815	0.854	0.624	0.000	0.000	0.004	0.005	0.005	0.005	0.005	0.004	0.000	0.000	otail
1.154	1.538	1.071	1.175	1.102	1.008	0.863	0.904	0.634	0.551	0.000	0.000	0.004	0.004	0.006	0.005	0.004	0.005	0.000	0.000	otail
1.283	1.401	1.322	1.165	0.720	1.034	0.798	0.602	0.798	0.877	0.000	0.000	0.003	0.002	0.008	0.009	0.002	0.004	0.000	0.000	otail
1.088	1.249	1.157	1.145	1.168	0.928	0.905	0.802	0.790	0.767	0.000	0.000	0.003	0.004	0.006	0.007	0.004	0.004	0.000	0.000	otail
0.904	1.565	1.399	1.234	1.118	0.962	0.836	0.777	0.709	0.496	0.000	0.000	0.004	0.003	0.007	0.007	0.004	0.003	0.000	0.000	otail
1.101	1.151	1.301	1.281	1.251	1.181	0.971	0.480	0.651	0.631	0.000	0.000	0.005	0.006	0.004	0.004	0.004	0.005	0.000	0.000	otail
0.916	1.042	1.179	1.326	1.221	1.074	0.989	0.926	0.684	0.642	0.000	0.000	0.004	0.004	0.005	0.006	0.005	0.004	0.000	0.000	otail
